Data,TableID,Year,HoldingPeriod,TransactionType,AssetType,Month,Series,Value
SOIIndividual,Table3A,2007,LongTerm,GainTransaction,AllAsset,January,Basis,70620680.665
SOIIndividual,Table3A,2007,LongTerm,GainTransaction,AllAsset,January,Gain,43798434.368
SOIIndividual,Table3A,2007,LongTerm,LossTransaction,AllAsset,January,NumberOfTransactions,2273.21958
SOIIndividual,Table3A,2007,LongTerm,LossTransaction,AllAsset,January,SalesPrice,21055582.694
SOIIndividual,Table3A,2007,LongTerm,LossTransaction,AllAsset,January,Basis,26210467.595
SOIIndividual,Table3A,2007,LongTerm,LossTransaction,AllAsset,January,Loss,5204590.103
SOIIndividual,Table3A,2007,LongTerm,GainTransaction,AllAsset,February,NumberOfTransactions,5979.37851
SOIIndividual,Table3A,2007,LongTerm,GainTransaction,AllAsset,February,SalesPrice,99056465.947
SOIIndividual,Table3A,2007,LongTerm,GainTransaction,AllAsset,February,Basis,61985830.48
SOIIndividual,Table3A,2007,LongTerm,GainTransaction,AllAsset,February,Gain,33941415.344
SOIIndividual,Table3A,2007,LongTerm,LossTransaction,AllAsset,February,NumberOfTransactions,1726.23143
SOIIndividual,Table3A,2007,LongTerm,LossTransaction,AllAsset,February,SalesPrice,17387989.629
SOIIndividual,Table3A,2007,LongTerm,LossTransaction,AllAsset,February,Basis,20979730.671
SOIIndividual,Table3A,2007,LongTerm,LossTransaction,AllAsset,February,Loss,3585805.755
SOIIndividual,Table3A,2007,LongTerm,GainTransaction,AllAsset,March,NumberOfTransactions,6344.62755
SOIIndividual,Table3A,2007,LongTerm,GainTransaction,AllAsset,March,SalesPrice,111126714.95
SOIIndividual,Table3A,2007,LongTerm,GainTransaction,AllAsset,March,Basis,70424123.296
SOIIndividual,Table3A,2007,LongTerm,GainTransaction,AllAsset,March,Gain,35658420.953
SOIIndividual,Table3A,2007,LongTerm,LossTransaction,AllAsset,March,NumberOfTransactions,1969.39363
SOIIndividual,Table3A,2007,LongTerm,LossTransaction,AllAsset,March,SalesPrice,17958002.98
SOIIndividual,Table3A,2007,LongTerm,LossTransaction,AllAsset,March,Basis,22166125.571
SOIIndividual,Table3A,2007,LongTerm,LossTransaction,AllAsset,March,Loss,4194835.83
SOIIndividual,Table3A,2007,LongTerm,GainTransaction,AllAsset,April,NumberOfTransactions,7838.64041
SOIIndividual,Table3A,2007,LongTerm,GainTransaction,AllAsset,April,SalesPrice,113667118.62
SOIIndividual,Table3A,2007,LongTerm,GainTransaction,AllAsset,April,Basis,71120907.814
SOIIndividual,Table3A,2007,LongTerm,GainTransaction,AllAsset,April,Gain,37485097.399
SOIIndividual,Table3A,2007,LongTerm,LossTransaction,AllAsset,April,NumberOfTransactions,1945.48472
SOIIndividual,Table3A,2007,LongTerm,LossTransaction,AllAsset,April,SalesPrice,20065385.632
SOIIndividual,Table3A,2007,LongTerm,LossTransaction,AllAsset,April,Basis,24177942.719
SOIIndividual,Table3A,2007,LongTerm,LossTransaction,AllAsset,April,Loss,4110664.809
SOIIndividual,Table3A,2007,LongTerm,GainTransaction,AllAsset,May,NumberOfTransactions,7584.60947
SOIIndividual,Table3A,2007,LongTerm,GainTransaction,AllAsset,May,SalesPrice,124681558.42
SOIIndividual,Table3A,2007,LongTerm,GainTransaction,AllAsset,May,Basis,77026393.853
SOIIndividual,Table3A,2007,LongTerm,GainTransaction,AllAsset,May,Gain,41917193.762
SOIIndividual,Table3A,2007,LongTerm,LossTransaction,AllAsset,May,NumberOfTransactions,1837.97344
SOIIndividual,Table3A,2007,LongTerm,LossTransaction,AllAsset,May,SalesPrice,18728662.631
SOIIndividual,Table3A,2007,LongTerm,LossTransaction,AllAsset,May,Basis,23292580.669
SOIIndividual,Table3A,2007,LongTerm,LossTransaction,AllAsset,May,Loss,4530017.69
