Data,TableID,Year,TransactionType,AssetType,Series,Value
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,AllTransactions,OtherBondsNotesAndDebentures,SalesPrice,115317165.4644
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,AllTransactions,OtherBondsNotesAndDebentures,Basis,115545985.61029999
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,AllTransactions,OtherBondsNotesAndDebentures,NetGainloss,-238117.24241
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,GainTransactions,OtherBondsNotesAndDebentures,Number,435.78278
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,GainTransactions,OtherBondsNotesAndDebentures,SalesPrice,15037581.059
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,GainTransactions,OtherBondsNotesAndDebentures,Basis,13197413.8867
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,GainTransactions,OtherBondsNotesAndDebentures,Gain,1825250.75899
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,LossTransactions,OtherBondsNotesAndDebentures,Number,637.12754
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,LossTransactions,OtherBondsNotesAndDebentures,SalesPrice,30074882.519500002
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,LossTransactions,OtherBondsNotesAndDebentures,Basis,32112932.033
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,LossTransactions,OtherBondsNotesAndDebentures,Loss,2063368.001
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,TransactionsWithNoGainOrLoss,OtherBondsNotesAndDebentures,Number,718.60423
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,TransactionsWithNoGainOrLoss,OtherBondsNotesAndDebentures,SalesPrice,70204701.88599999
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,TransactionsWithNoGainOrLoss,OtherBondsNotesAndDebentures,Basis,70235639.691
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,AllTransactions,PutAndCallOptions,Number,6672.12058
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,AllTransactions,PutAndCallOptions,SalesPrice,60391858.430300005
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,AllTransactions,PutAndCallOptions,Basis,57931358.140700005
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,AllTransactions,PutAndCallOptions,NetGainloss,2674766.8800999997
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,GainTransactions,PutAndCallOptions,Number,3632.07783
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,GainTransactions,PutAndCallOptions,SalesPrice,29653571.3757
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,GainTransactions,PutAndCallOptions,Basis,18994628.2247
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,GainTransactions,PutAndCallOptions,Gain,11175604.5412
SOIIndividual,Table1AShorttermAndLongtermCapitalGainsAndLosses,2007,LossTransactions,PutAndCallOptions,Number,2773.37691
