Data,TableID,Year,HoldingPeriod,TransactionType,AssetType,AGI,Series,Value
SOIIndividual,Table2A,2007,LongTerm,LossTransaction,AllAsset,"Under 20,000",Loss,5002746.394
SOIIndividual,Table2A,2007,LongTerm,AllTransactions,AllAsset,"20,000 under 50,000",NumberOfReturns,4699305.89
SOIIndividual,Table2A,2007,LongTerm,GainTransaction,AllAsset,"20,000 under 50,000",NumberOfReturns,4347044.86
SOIIndividual,Table2A,2007,LongTerm,GainTransaction,AllAsset,"20,000 under 50,000",NumberOfTransactions,11237179.69
SOIIndividual,Table2A,2007,LongTerm,GainTransaction,AllAsset,"20,000 under 50,000",Gain,21810597.676
SOIIndividual,Table2A,2007,LongTerm,LossTransaction,AllAsset,"20,000 under 50,000",NumberOfReturns,1288115.67
SOIIndividual,Table2A,2007,LongTerm,LossTransaction,AllAsset,"20,000 under 50,000",NumberOfTransactions,3239219.34
SOIIndividual,Table2A,2007,LongTerm,LossTransaction,AllAsset,"20,000 under 50,000",Loss,8343462.033
SOIIndividual,Table2A,2007,LongTerm,AllTransactions,AllAsset,"50,000 under 100,000",NumberOfReturns,7057151.71
SOIIndividual,Table2A,2007,LongTerm,GainTransaction,AllAsset,"50,000 under 100,000",NumberOfReturns,6599896.06
SOIIndividual,Table2A,2007,LongTerm,GainTransaction,AllAsset,"50,000 under 100,000",NumberOfTransactions,21969954.35
SOIIndividual,Table2A,2007,LongTerm,GainTransaction,AllAsset,"50,000 under 100,000",Gain,53829125.84
SOIIndividual,Table2A,2007,LongTerm,LossTransaction,AllAsset,"50,000 under 100,000",NumberOfReturns,2099949.91
SOIIndividual,Table2A,2007,LongTerm,LossTransaction,AllAsset,"50,000 under 100,000",NumberOfTransactions,6037104.82
SOIIndividual,Table2A,2007,LongTerm,LossTransaction,AllAsset,"50,000 under 100,000",Loss,15800289.18
SOIIndividual,Table2A,2007,LongTerm,AllTransactions,AllAsset,"100,000 under 200,000",NumberOfReturns,5591776.97
SOIIndividual,Table2A,2007,LongTerm,GainTransaction,AllAsset,"100,000 under 200,000",NumberOfReturns,5287485.74
SOIIndividual,Table2A,2007,LongTerm,GainTransaction,AllAsset,"100,000 under 200,000",NumberOfTransactions,24298330.75
SOIIndividual,Table2A,2007,LongTerm,GainTransaction,AllAsset,"100,000 under 200,000",Gain,90296228.132
SOIIndividual,Table2A,2007,LongTerm,LossTransaction,AllAsset,"100,000 under 200,000",NumberOfReturns,1948572.58
SOIIndividual,Table2A,2007,LongTerm,LossTransaction,AllAsset,"100,000 under 200,000",NumberOfTransactions,7180669.49
SOIIndividual,Table2A,2007,LongTerm,LossTransaction,AllAsset,"100,000 under 200,000",Loss,14986513.16
SOIIndividual,Table2A,2007,LongTerm,AllTransactions,AllAsset,"200,000 under 500,000",NumberOfReturns,2345068.84
SOIIndividual,Table2A,2007,LongTerm,GainTransaction,AllAsset,"200,000 under 500,000",NumberOfReturns,2240969.86
SOIIndividual,Table2A,2007,LongTerm,GainTransaction,AllAsset,"200,000 under 500,000",NumberOfTransactions,18479645.77
SOIIndividual,Table2A,2007,LongTerm,GainTransaction,AllAsset,"200,000 under 500,000",Gain,118740762.08
SOIIndividual,Table2A,2007,LongTerm,LossTransaction,AllAsset,"200,000 under 500,000",NumberOfReturns,1065367.51
SOIIndividual,Table2A,2007,LongTerm,LossTransaction,AllAsset,"200,000 under 500,000",NumberOfTransactions,5878693.49
SOIIndividual,Table2A,2007,LongTerm,LossTransaction,AllAsset,"200,000 under 500,000",Loss,15822517.84
SOIIndividual,Table2A,2007,LongTerm,AllTransactions,AllAsset,"500,000 under 1,000,000",NumberOfReturns,547436.82
SOIIndividual,Table2A,2007,LongTerm,GainTransaction,AllAsset,"500,000 under 1,000,000",NumberOfReturns,531889.08
SOIIndividual,Table2A,2007,LongTerm,GainTransaction,AllAsset,"500,000 under 1,000,000",NumberOfTransactions,8360155.52
SOIIndividual,Table2A,2007,LongTerm,GainTransaction,AllAsset,"500,000 under 1,000,000",Gain,89306170.751
SOIIndividual,Table2A,2007,LongTerm,LossTransaction,AllAsset,"500,000 under 1,000,000",NumberOfReturns,301518.1
SOIIndividual,Table2A,2007,LongTerm,LossTransaction,AllAsset,"500,000 under 1,000,000",NumberOfTransactions,2549792.8
SOIIndividual,Table2A,2007,LongTerm,LossTransaction,AllAsset,"500,000 under 1,000,000",Loss,8225431.581
SOIIndividual,Table2A,2007,LongTerm,AllTransactions,AllAsset,"1,000,000 or more",NumberOfReturns,362330.7
SOIIndividual,Table2A,2007,LongTerm,GainTransaction,AllAsset,"1,000,000 or more",NumberOfReturns,354893.38
SOIIndividual,Table2A,2007,LongTerm,GainTransaction,AllAsset,"1,000,000 or more",NumberOfTransactions,11214899.25
SOIIndividual,Table2A,2007,LongTerm,GainTransaction,AllAsset,"1,000,000 or more",Gain,565829262.75
SOIIndividual,Table2A,2007,LongTerm,LossTransaction,AllAsset,"1,000,000 or more",NumberOfReturns,231534.73
SOIIndividual,Table2A,2007,LongTerm,LossTransaction,AllAsset,"1,000,000 or more",NumberOfTransactions,3606286.43
SOIIndividual,Table2A,2007,LongTerm,LossTransaction,AllAsset,"1,000,000 or more",Loss,20663492.13
SOIIndividual,Table2B,2007,ShortTerm,AllTransactions,CorporateStock,AllReturns,NumberOfReturns,6402265.99
SOIIndividual,Table2B,2007,ShortTerm,GainTransaction,CorporateStock,AllReturns,NumberOfReturns,5070714.34
SOIIndividual,Table2B,2007,ShortTerm,GainTransaction,CorporateStock,AllReturns,NumberOfTransactions,60241031.82
SOIIndividual,Table2B,2007,ShortTerm,GainTransaction,CorporateStock,AllReturns,Gain,48806844.679
SOIIndividual,Table2B,2007,ShortTerm,LossTransaction,CorporateStock,AllReturns,NumberOfReturns,3608775.59
SOIIndividual,Table2B,2007,ShortTerm,LossTransaction,CorporateStock,AllReturns,NumberOfTransactions,42704593.59
SOIIndividual,Table2B,2007,ShortTerm,LossTransaction,CorporateStock,AllReturns,Loss,44197026.09
SOIIndividual,Table2B,2007,ShortTerm,AllTransactions,CorporateStock,AdjustedGrossDeficit,NumberOfReturns,120303.24
SOIIndividual,Table2B,2007,ShortTerm,GainTransaction,CorporateStock,AdjustedGrossDeficit,NumberOfReturns,92289.96
SOIIndividual,Table2B,2007,ShortTerm,GainTransaction,CorporateStock,AdjustedGrossDeficit,NumberOfTransactions,1561921.95
SOIIndividual,Table2B,2007,ShortTerm,GainTransaction,CorporateStock,AdjustedGrossDeficit,Gain,1236515.8685
SOIIndividual,Table2B,2007,ShortTerm,LossTransaction,CorporateStock,AdjustedGrossDeficit,NumberOfReturns,80294.42
SOIIndividual,Table2B,2007,ShortTerm,LossTransaction,CorporateStock,AdjustedGrossDeficit,NumberOfTransactions,1590015.49
SOIIndividual,Table2B,2007,ShortTerm,LossTransaction,CorporateStock,AdjustedGrossDeficit,Loss,1941853.582
SOIIndividual,Table2B,2007,ShortTerm,AllTransactions,CorporateStock,"Under 20,000",NumberOfReturns,621322.01
SOIIndividual,Table2B,2007,ShortTerm,GainTransaction,CorporateStock,"Under 20,000",NumberOfReturns,489014.24
SOIIndividual,Table2B,2007,ShortTerm,GainTransaction,CorporateStock,"Under 20,000",NumberOfTransactions,3461430.65
SOIIndividual,Table2B,2007,ShortTerm,GainTransaction,CorporateStock,"Under 20,000",Gain,1858494.7589
SOIIndividual,Table2B,2007,ShortTerm,LossTransaction,CorporateStock,"Under 20,000",NumberOfReturns,311761.78
SOIIndividual,Table2B,2007,ShortTerm,LossTransaction,CorporateStock,"Under 20,000",NumberOfTransactions,2709983.0
SOIIndividual,Table2B,2007,ShortTerm,LossTransaction,CorporateStock,"Under 20,000",Loss,2922600.888
SOIIndividual,Table2B,2007,ShortTerm,AllTransactions,CorporateStock,"20,000 under 50,000",NumberOfReturns,912059.5
SOIIndividual,Table2B,2007,ShortTerm,GainTransaction,CorporateStock,"20,000 under 50,000",NumberOfReturns,735593.09
SOIIndividual,Table2B,2007,ShortTerm,GainTransaction,CorporateStock,"20,000 under 50,000",NumberOfTransactions,4769931.44
SOIIndividual,Table2B,2007,ShortTerm,GainTransaction,CorporateStock,"20,000 under 50,000",Gain,2410532.1431
SOIIndividual,Table2B,2007,ShortTerm,LossTransaction,CorporateStock,"20,000 under 50,000",NumberOfReturns,442484.85
SOIIndividual,Table2B,2007,ShortTerm,LossTransaction,CorporateStock,"20,000 under 50,000",NumberOfTransactions,3637444.17
