Data,TableID,Year,HoldingPeriod,TransactionType,AssetType,TimeHeld,Series,Value
SOIIndividual,Table4A,2007,ShortTerm,GainTransaction,AllAsset,9 months under 10 months,SalesPrice,24491599.48
SOIIndividual,Table4A,2007,ShortTerm,GainTransaction,AllAsset,9 months under 10 months,Basis,21864636.62
SOIIndividual,Table4A,2007,ShortTerm,GainTransaction,AllAsset,9 months under 10 months,Gain,2590083.596
SOIIndividual,Table4A,2007,ShortTerm,LossTransaction,AllAsset,9 months under 10 months,NumberOfTransactions,1750.40139
SOIIndividual,Table4A,2007,ShortTerm,LossTransaction,AllAsset,9 months under 10 months,SalesPrice,12567566.88
SOIIndividual,Table4A,2007,ShortTerm,LossTransaction,AllAsset,9 months under 10 months,Basis,14760746.86
SOIIndividual,Table4A,2007,ShortTerm,LossTransaction,AllAsset,9 months under 10 months,Loss,2188044.152
SOIIndividual,Table4A,2007,ShortTerm,GainTransaction,AllAsset,10 months under 11 months,NumberOfTransactions,2831.00052
SOIIndividual,Table4A,2007,ShortTerm,GainTransaction,AllAsset,10 months under 11 months,SalesPrice,21332865.52
SOIIndividual,Table4A,2007,ShortTerm,GainTransaction,AllAsset,10 months under 11 months,Basis,19178812.61
SOIIndividual,Table4A,2007,ShortTerm,GainTransaction,AllAsset,10 months under 11 months,Gain,2333435.806
SOIIndividual,Table4A,2007,ShortTerm,LossTransaction,AllAsset,10 months under 11 months,NumberOfTransactions,1709.11525
SOIIndividual,Table4A,2007,ShortTerm,LossTransaction,AllAsset,10 months under 11 months,SalesPrice,19259433.73
SOIIndividual,Table4A,2007,ShortTerm,LossTransaction,AllAsset,10 months under 11 months,Basis,21375612.61
SOIIndividual,Table4A,2007,ShortTerm,LossTransaction,AllAsset,10 months under 11 months,Loss,2109354.466
SOIIndividual,Table4A,2007,ShortTerm,GainTransaction,AllAsset,11 months under 12 months,NumberOfTransactions,2831.74068
SOIIndividual,Table4A,2007,ShortTerm,GainTransaction,AllAsset,11 months under 12 months,SalesPrice,23360002.92
SOIIndividual,Table4A,2007,ShortTerm,GainTransaction,AllAsset,11 months under 12 months,Basis,21176629.02
SOIIndividual,Table4A,2007,ShortTerm,GainTransaction,AllAsset,11 months under 12 months,Gain,2244488.927
SOIIndividual,Table4A,2007,ShortTerm,LossTransaction,AllAsset,11 months under 12 months,NumberOfTransactions,1446.04442
SOIIndividual,Table4A,2007,ShortTerm,LossTransaction,AllAsset,11 months under 12 months,SalesPrice,14205040.92
SOIIndividual,Table4A,2007,ShortTerm,LossTransaction,AllAsset,11 months under 12 months,Basis,16213961.52
SOIIndividual,Table4A,2007,ShortTerm,LossTransaction,AllAsset,11 months under 12 months,Loss,2006582.656
SOIIndividual,Table4A,2007,ShortTerm,GainTransaction,AllAsset,1 year or more,NumberOfTransactions,914.52997
SOIIndividual,Table4A,2007,ShortTerm,GainTransaction,AllAsset,1 year or more,SalesPrice,46661596.07
SOIIndividual,Table4A,2007,ShortTerm,GainTransaction,AllAsset,1 year or more,Basis,38395192.33
SOIIndividual,Table4A,2007,ShortTerm,GainTransaction,AllAsset,1 year or more,Gain,2267629.391
SOIIndividual,Table4A,2007,ShortTerm,LossTransaction,AllAsset,1 year or more,NumberOfTransactions,468.92836
SOIIndividual,Table4A,2007,ShortTerm,LossTransaction,AllAsset,1 year or more,SalesPrice,50487441.34
SOIIndividual,Table4A,2007,ShortTerm,LossTransaction,AllAsset,1 year or more,Basis,52713839.31
SOIIndividual,Table4A,2007,ShortTerm,LossTransaction,AllAsset,1 year or more,Loss,2181173.257
SOIIndividual,Table4A,2007,ShortTerm,GainTransaction,AllAsset,Holding period not determinable,NumberOfTransactions,18658.8234
